Show Number, Air Date, Category, Value, Question, Answer
3834,2001-04-12,"THEATRE","None","The 1996 musical ""Play On!"" gets its title from the first line of this Shakespeare play, on which it is based","\""Twelfth Night\"""
3619,2000-05-04,"FILM CLASSICS","None","This 1951 classic stars the AFI's top picks for the greatest male & female film legends","The African Queen (Humphrey Bogart & Katharine Hepburn)"
3534,2000-01-06,"NONFICTION AUTHORS","None","First published in 1946, a book written by this man became the bestselling book in the U.S. after the Bible","Dr. Benjamin Spock (\""Baby and Child Care\"")"
4085,2002-05-10,"KNOWLEDGE BY THE NUMBERS","None","Number of males who served as British PM in the 1990s plus Oscars won by Tom Hanks plus protons in a helium nucleus","6 (2 + 2 + 2)"
1279,1990-03-08,"FAMOUS NAMES","None","He published a history of Virginia & New England in 1624, after escaping from Turks, Indians & pirates","Captain John Smith"
1302,1990-04-10,"CABLE TELEVISION","None","The name of this channel can be traced back to a movie theater that opened in 1905 in McKeesport, Pa.","Nickelodeon"
4936,2006-02-13,"THE 50 STATES","None","Since 1776, it has been the only U.S. state to be the most populous state for more than a century","New York"
3632,2000-05-23,"ASIA","None","It's Asia's southernmost national capital","Jakarta (Indonesia)"
3362,1999-03-30,"WORLD GEOGRAPHY","None","One story says this point was so named becuase it was a positive sign of a sea route from Europe to India","Cape of Good Hope"
4960,2006-03-17,"20th CENTURY BOOKS","None","Chapter I of this book tells us: ""Worse than the ordinary miserable childhood is the miserable Irish childhood...""","Angela's Ashes (by Frank McCourt)"
5392,2008-02-05,"19th CENTURY POLITICIANS","None","As Territories Committee chair, this Midwest senator helped draw the borders of 7 territories, including Kansas & Nebraska","Stephen Douglas"
5795,2009-11-20,"PRESIDENTIAL ELECTIONS","None","He was the last sitting president to run for re-election & finish third in the Electoral College","William Howard Taft"
6118,2011-03-30,"INFLUENTIAL 19th CENTURY THINKERS","None","At the University of Bonn in 1836, he was wounded in a duel with a member of an aristocratic Prussian fraternity","Karl Marx"
5580,2008-12-05,"HISTORIC PROPERTY TRANSACTIONS","None","On May 15, 1768 France bought this island from Genoa for 2 million livres","Corsica"
4699,2005-01-27,"MOUNTAINS","None","To trek through its Khumbu Icefall, Lhotse Face & South Col, your team needs a $70,000 permit from Nepal's government","Mount Everest"
3113,1998-02-25,"ASIA","None","19th century novelist Jose Rizal was a hero of this country's independence movement","the Philippines"
3447,1999-09-07,"EMPIRES","None","In the early 1800s, this man's empire included the duchy of Warsaw, the kingdom of Naples & Spain","Napoleon"
6294,2012-01-19,"SPORTS & THE MOVIES","None","When asked for a home address in ""The Blues Bros."" Elwood gives 1060 W. Addison St., the home of this facility","Wrigley Field"
3461,1999-09-27,"FICTION","None","This 1937 mystery was written at the Old Cataract Hotel in Aswan","\""Death on the Nile\"""
1800,1992-05-29,"VICE PRESIDENTS","None","He served FDR as Commerce Secretary, Agriculture Secretary, and Vice President","Henry Wallace"
5981,2010-09-20,"THE WESTERN HEMISPHERE","None","Made up of 1 large & many smaller islands, it's the most populous of Britain's remaining overseas territories","Bermuda"
3112,1998-02-24,"FAMOUS VOYAGES","None","Capt. Robert Fitzroy of this ship argued that its scientific discoveries supported the Bible","the Beagle"
5431,2008-03-31,"BEFORE THEY WERE SENATORS","None","Later a U.S. senator, in 1962 he made a famous 75,000-mile trip","John Glenn"
5630,2009-02-13,"CLASSIC MOVIE CHARACTERS","None","The parents of this 1942 film character are an unnamed mother & a father known as ""the great prince of the forest""","Bambi"
4595,2004-07-23,"SHAKESPEARE","None","2 of the 4 Shakespeare plays in which ghosts appear on stage","(2 of) Hamlet, Julius Caesar, Macbeth, Richard III"
3214,1998-07-16,"TELEVISION & HISTORY","None","When ""60 Minutes"" premiered, this man was U.S. president","Lyndon B. Johnson (show premiered Sept. 24, 1968)"
5145,2007-01-12,"LITERARY TITLES","None","This 1954 book title refers to an impaled sow's head, an offering to the ""beast""","Lord of the Flies"
5282,2007-07-24,"ANIMALS","None","The genus of this Asian animal is Ailuropoda, & its species name, appropriately, is melanoleuca","the giant panda"
4220,2002-12-27,"IN THE DICTIONARY","None","This 5-letter word can refer to one type of work by a composer, or to several works of different types","opera"
6125,2011-04-08,"THE METROPOLITAN MUSEUM OF ART","None","64 paintings from the Met's founding purchase are still in its collection; over 1/3 of them are from this current European nation","the Netherlands"
5979,2010-09-16,"WORD AND PHRASE ORIGINS","None","Meaning ""rapidly"", this term began in England, referring to the speed with which the mail was delivered","post haste"
3815,2001-03-16,"SPORTS NAME ORIGINS","None","This racket sport takes its name from the country home of the 19th century Duke of Beaufort","Badminton"
422,1986-04-22,"GAMBLING","None","Next to slots, Nevada casinos make more money from this game than any other, nearly $3/4 billion in 1985","blackjack"
1740,1992-03-06,"20th CENTURY VICE PRESIDENTS","None","The only VP to become president not immediately after his vice presidential term","Richard Nixon"
3697,2000-10-03,"FAMOUS TEENAGERS","None","This young man who turned 18 on June 21, 2000 has a dog named Widgeon & a younger brother named Harry","Prince William"
5079,2006-10-12,"WORLD CAPITALS","None","Started in 1988 for this city's 75th anniversary, a Springtime Flower Festival in September shows off its Commonwealth Park","Canberra, Australia"
4487,2004-02-24,"FAMOUS NAMES","None","A grandson of Man O' War, he defeated his uncle in a famous matchup November 1, 1938","Seabiscuit"
5807,2009-12-08,"LITERATURE OF THE 1800s","None","This character said, ""I will live in the past, the present, and the future.  The spirits of all three shall strive within me""","Ebenezer Scrooge"
5622,2009-02-03,"CIVIL WAR PEOPLE","None","He was the only person who died during the Civil War to be featured on Confederate currency","Stonewall Jackson"
5084,2006-10-19,"FAMOUS NAMES","None","Once a top spy, he invented the mug shot seen on reward posters in the Wild West","Allan Pinkerton"
5002,2006-05-16,"SCIENTISTS","None","""American Prometheus"" is a biography of this physicist who died in 1967","J. Robert Oppenheimer"
5334,2007-11-15,"SCIENTISTS","None","In 2007 this 1962 American Nobel laureate became the first person to receive his own personal genome map","James Watson"
5347,2007-12-04,"U.S. POLITICS","None","Since 1960, only Massachusetts & this state have produced more than one of the 10 Democratic presidential nominees","Minnesota (Hubert Humphrey & Walter Mondale)"
4751,2005-04-11,"ARLINGTON'S TOMB OF UNKNOWNS","None","Sentinels at the tomb walk exactly this many steps at a time before they stop & turn","21"
4576,2004-06-28,"BOOK TITLES","None","""I am the rose of Sharon"" & ""When you know your name, you should hang on to it"" are from 2 different books titled this","Song of Solomon"
4582,2004-07-06,"HISTORIC ENGLISHMEN","None","Ironically, he might have saved himself from death in 1779 if he had known how to swim","Captain Cook"
5352,2007-12-11,"SHAKESPEAREAN TRAGEDY CHARACTERS","None","To the consternation of the title character, we learn that this character was born by C-section","Macduff"
4398,2003-10-22,"20th CENTURY NOTABLES","None","Einstein said of him, ""Generations to come will scarcely believe"" one such as he ""walked the Earth in flesh & blood""","Mohandas Gandhi"
6144,2011-05-05,"WORLD LEADERS","None","Shortly after he received the 1990 Nobel Peace Prize, his country ceased to exist","Mikhail Gorbachev"
6239,2011-11-03,"COUNTRIES' HIGHEST PEAKS","None","These 2 nations, one an island, have highest peaks with the same name; they also share a common European culture","Greece & Cyprus"
5796,2009-11-23,"ODD TITLES","None","Gilbert & Sullivan's ""Mikado"", not Milne, gave us this hyphenated title for a pompous functionary","grand poo-bah"
5996,2010-10-11,"PRISONS","None","Nazi Rudolf Hess in 1941 & the notorious Kray twins in 1952 were among the last people briefly held here","the Tower of London"
2818,1996-11-27,"RIVERS","None","It was once believed that this river ""originated in the Mountains of the Moon""","the Nile"
5797,2009-11-24,"COMPOSERS","None","In 1928, the 100th anniversary of his death, a $10,000 prize was offered for the completion of his 8th Symphony","(Franz) Schubert"
4213,2002-12-18,"20th CENTURY U.S. PRESIDENTS","None","This president shares his middle name with the name of a 1st C. Jewish theologian mentioned in the New Testament","Warren Gamaliel Harding"
4278,2003-03-19,"ALL GOD'S CREATURES","None","Edison proposed a flying machine based on the flight of this creature, also the subject of a musical work","bumblebee"
3403,1999-05-26,"1950s ACHIEVEMENTS","None","On Nov. 20, 1953, in a Douglas D-558-2, Scott Crossfield reached this benchmark","Traveling twice the speed of sound"
3436,1999-07-12,"IN THE BOOKSTORE","None","Bestselling author seen here (she's holding a large ""A"" & a large ""Z"")","Sue Grafton"
1276,1990-03-05,"SHAKESPEAREAN TITLE CHARACTERS","None","He is introduced as ""The triple pillar of the world transformed into a strumpet's fool""","Marc Antony"
4700,2005-01-28,"THE WORLD OF ART","None","It's the room where you'll find the masterpiece that includes ""The Flood"" & ""The Creation of Eve""","the Sistine Chapel"
6288,2012-01-11,"FOOD ETYMOLOGY","None","Keith Downey developed rapeseed into this cooking product, now a huge cash crop for farmers in Saskatchewan","canola"
5512,2008-07-22,"WORLD LEADERS","None","Born in Kiev & later a U.S. citizen, this leader became prime minister in 1969 of a country founded in the 20th century","Golda Meir"
3060,1997-12-12,"BRAND NAMES","None","Formulated in 1953, its first purpose was ""water displacement"" to prevent corrosion on missiles","WD-40"
5419,2008-03-13,"AUTHORS","None","Sherwood Anderson told him, write about what ""you know... that little patch... in Mississippi where you started from""","William Faulkner"
5686,2009-05-04,"THE 50 STATES","None","An 1881 resolution established that this state's name was to be spelled one way but pronounced another","Arkansas"
3343,1999-03-03,"THE PRESIDENCY","None","In 1998, the highest-ranking person in the line of presidential succession who could not legally be president","Madeleine Albright (Secretary of State)"
3331,1999-02-15,"WORLD CITIES","None","In May 1998 this metropolis of 7 million voted to start electing its mayor for the first time","London"
3003,1997-09-24,"19TH CENTURY FICTION","None","The 1853 novel ""Clotel, or The President's Daughter"" alleges that this man had an affair with a slave","Thomas Jefferson"
308,1985-11-13,"BIOLOGY","None","Of the 4, blood group of the universal recipient","AB"
3480,1999-10-22,"SISTER CITIES","None","San Francisco, California is a sister city to this one in Italy","Assisi (named after St. Francis of Assisi)"
4842,2005-10-04,"20th CENTURY NOVELS","None","Ironically, this 1953 science fiction book began appearing in a censored version in 1967","Fahrenheit 451"
1658,1991-11-13,"AFRICAN AMERICANS","None","In 1978 she became the first black woman honored on a U.S. postage stamp","Harriet Tubman"
3254,1998-10-29,"TV CHARACTERS","None","Dozens of web sites are devoted to picking on this Sheryl Leach creation who only gives love","Barney"
5903,2010-04-21,"SAINTHOOD","None","In 2009 this man who died on Molokai in 1889 became Hawaii's first saint","Father Damien"
5914,2010-05-06,"AMERICAN LITERATURE","None","A contemporary review of this 1851 novel said, ""Who would have looked for... poetry in blubber?""","Moby-Dick"
2047,1993-06-29,"U.S. RIVERS","None","The name of this river, famous in song, may be a corruption of the Spanish for ""little Saint John""","the Swanee"
2349,1994-11-17,"NAMES IN THE NEWS","None","This former U.N. ambassador is a co-chairman of the host city's committee for the 1996 Olympic Games","Andrew Young"
5173,2007-02-21,"EXPLORERS","None","In 1616, after Hudson died, this man became the 1st European to reach Ellesmere Island; an island & bay are named for him","(William) Baffin"
3537,2000-01-11,"TELEVISION HISTORY","None","In the late '60s this character was created to show children it's okay to be grumpy","Oscar the Grouch (from \""Sesame Street\"")"
3911,2001-09-10,"FAMOUS PEOPLE","None","In 2001, she produced & hosted the Travel Channel's ""Secrets of San Simeon""","Patty Hearst"
4254,2003-02-13,"FIRST NAMES","None","Once considered too sacred to use, it was later the top girl's name from 1880 to the 1940s","Mary"
5831,2010-01-11,"THE PARTS OF SPEECH","None","Of the traditional 8 parts of speech, it's the only one that doesn't end in the same 4 letters as 1 of the other parts of speech","adjective"
3470,1999-10-08,"THE FUNNIES","None","Debuting November 18, 1985, the caption in its first box was ""So long, Pop!  I'm off to check my tiger trap!""","Calvin and Hobbes"
4506,2004-03-22,"FAMOUS FELINES","None","He made his debut in the 1945 short film ""Life with Feathers""","Sylvester"
2120,1993-11-19,"WORD ORIGINS","None","The name of this dialect comes from a Hindi word, mantri, meaning ""counselor""","Mandarin"
5935,2010-06-04,"AMERICAN POLITICIANS","None","Frank Sinatra came out of retirement to sing their praises: ""they're both unique... the Quaker & the Greek""","Richard Nixon & Spiro Agnew"
3903,2001-07-18,"INTERNATIONAL LANDMARKS","None","Its roof has been variously described as sails, clam shells & a huddle of nuns in a high wind","the Sydney Opera House"
3303,1999-01-06,"PEOPLE","None","He made the cover of Life magazine 3 times in February & March of 1962, & again in October 1998","John Glenn"
4968,2006-03-29,"20th CENTURY THEATER","None","This play ends with 1 character asking, ""Well?  Shall we go?""; the other replies, ""Yes, let's go"", but they do not move","Waiting for Godot"
5307,2007-10-09,"U.S. PRESIDENTS","None","He's the only U.S. president who never lived in the District of Columbia","George Washington"
3517,1999-12-14,"AMERICAN AUTHORS","None","His bestselling first novel, published in 1846, was set in Polynesia","Herman Melville (\""Typee\"")"
776,1988-01-11,"SOUTH AMERICA","None","These are the only 2 independent countries in South America named for a famous person","Colombia & Bolivia"
3010,1997-10-03,"BATTLES","None","Napoleon's plans to invade England were dashed by this October 21, 1805 battle","Battle of Trafalgar"
3855,2001-05-11,"SOUTH AMERICA","None","One of 2 landlocked countries in South America","(1 of 2) Bolivia or Paraguay"
3358,1999-03-24,"WORD ORIGINS","None","Today meaning a self-employed person, this term derives from medieval knights who sold their skills","Freelancer"
4985,2006-04-21,"FAMOUS OBJECTS","None","Shah Jahan, Ranjit Singh & Queen Victoria all possessed a famous one whose name means ""mountain of light""","a diamond"
6287,2012-01-10,"RULERS IN HISTORY","None","Born in 1672 & named for a saint, in 1703 he founded a city whose name represents both of them","Peter the Great"
5930,2010-05-28,"AWARDS & HONORS","None","A trophy named for this author is awarded to anyone who breaks the record for sailing a yacht around the world","Jules Verne"
4306,2003-04-28,"TRANSPORTATION","None","On December 11, 1967 it was removed from the British registry & turned over to the city of Long Beach, California","the Queen Mary"
5363,2007-12-26,"STRUCTURES","None","When completed, it stretched for 73 1/2 miles from Bowness to Wallsend","Hadrian's Wall"
958,1988-11-02,"THE SPACE RACE","None","Sputnik was the Soviet's 1st satellite, while this was ours","Explorer"
4667,2004-12-14,"AWARD-WINNING AUTHORS","None","The only Oscar winner also to win a Nobel Prize, this European won a 1938 Oscar for adapting his own play","George Bernard Shaw"
732,1987-11-10,"THE BIBLE","None","The first verse of this book says, ""There was a man in the land of Uz that feared God and eschewed evil""","Job"
5476,2008-06-02,"THE BILLBOARD HOT 100","None","A song by this artist hit No. 1 in 1999, making her at age 52 the oldest female to have a Billboard No. 1 single","Cher"
5171,2007-02-19,"ORGANIZATIONS","None","The C.A.P., or Common Agricultural Policy, accounts for almost half the budget of this 25-nation organization","the European Union"
3191,1998-06-15,"MACBETH","None","Macbeth says to this character, ""Thy bones are marrowless, thy blood is cold""","Banquo's ghost"
2515,1995-07-07,"NOTORIOUS","None","Oscar Collazo, serving a life sentence for his assassination attempt on this president, was released in 1979","Harry Truman"
4183,2002-11-06,"AUTHORS","None","In September 1941 this author christened the warship Atlanta, also known as ""The Mighty A""","Margaret Mitchell"
3255,1998-10-30,"HALLOWEEN ON FILM","None","(<a href=""http://www.j-archive.com/media/1998-10-30_FJ.jpg"" target=""_blank"">Happy Halloween, I'm Janet Leigh.</a>)  In a 1953 film my then husband played this man, who died on Halloween in 1926; I played his wife Bess","Harry Houdini"
5094,2006-11-02,"FICTIONAL CHARACTERS","None","He first appeared in Kipling's 1892 story ""In the Rukh"" as an adult who now & then refers to his very odd childhood","Mowgli"
4644,2004-11-11,"BRITISH NOVEL CHARACTERS","None","W.E. Henley, the amputee who wrote the brave poem ""Invictus"", inspired this character in an 1883 book","Long John Silver"
6072,2011-01-25,"THE OLD TESTAMENT","None","In the Book of Job, this name means ""accuser"", & that was his role in God's court","Satan"
4808,2005-06-29,"MUSICAL THEATER","None","In Act II of this musical, an election victory is announced ""on the balcony of the Casa Rosada""","Evita"
5467,2008-05-20,"CHILDREN'S AUTHORS","None","In 1896 he said his mother had lost her childhood at 8; he ""knew a time would come when I also must give up the games""","J.M. Barrie"
5146,2007-01-15,"AMERICAN LITERATURE","None","An epigraph he used on one story says, ""our hearts though stout and brave, still, like muffled drums are beating""","Edgar Allan Poe"
4146,2002-09-16,"ON THE CALENDAR","None","In 1974, to save energy, it began in January instead of April & ended on October 27","Daylight saving time"
3501,1999-11-22,"FAMOUS WEDDINGS","None","In 1998 a 61-year-old piece of this couple's wedding cake sold for $26,000 at Sotheby's","The Duke of Windsor (former King Edward VIII) & Wallis Simpson"
1274,1990-03-01,"WORLD HISTORY","None","City that was the seat of government of the viceroyalty of New Spain","Mexico City"
3547,2000-01-25,"THE TONY AWARDS","None","(Hi, I'm Brian Dennehy)  This man won a Tony for writing the Best Play of 1949 and I had the honor of presenting him with a Lifetime Achievement Tony in 1999","Arthur Miller (wrote \""Death of a Salesman\"")"
4227,2003-01-07,"ANIMALS","None","What the Germans call a Bambusbar, we generally call this","a panda bear"
2679,1996-04-04,"FAMOUS TEACHERS","None","In 1967 this former teacher published a memoir entitled ""Center of the Storm""","John Scopes (famous Scopes Trial)"
4724,2005-03-03,"20th CENTURY AMERICANS","None","He was alive for the Wright Brothers' historic flight & was John Glenn's Senate colleague when Glenn returned to space","Strom Thurmond"
3898,2001-07-11,"CONTEMPORARY BRITISH AUTHORS","None","In May 1973 Sports Illustrated ran one of his short stories under the title ""A Day of Wine and Roses""","Dick Francis"
1291,1990-03-26,"COUNTRIES OF THE WORLD","None","The world's most populous democracy","India"
4946,2006-02-27,"AMERICAN WOMEN","None","She gave herself the third-person name ""Phantom"", the ""no-person"" she was from 19 months until she was almost 7","Helen Keller"
4787,2005-05-31,"BEATLES MUSIC","None","Chauffeur Alf Bicknell was the inspiration for this 1965 song","\""Drive My Car\"""
6135,2011-04-22,"BIOGRAPHERS","None","As many mourned, this minister wrote in a letter, ""Washington is gone!  Millions are gasping to read ...about him""","Parson Weems"
5443,2008-04-16,"CONSUMER PRODUCTS","None","This product was reintroduced in 1906 with trimethylxanthine as the sole remaining stimulant","Coca-Cola"
62,1984-12-04,"U.S. PRESIDENTS","None","President elected to 2nd term with 523 electoral votes, the greatest number in any election","Franklin D. Roosevelt"
6231,2011-10-24,"U.S. CITIES","None","Of the top 10 cities in population within city limits, this one of 1.4 million is the only state capital","Phoenix, Arizona"
3682,2000-09-12,"NOTORIOUS","None","Using the aliases James Ryan & Harry Place, they boarded a steamer for Argentina in February 1901","Butch Cassidy & The Sundance Kid"
3102,1998-02-10,"ENGLISH LITERATURE","None","The 5th edition of this work, published in 1676, included a section on fly fishing by Charles Cotton","The Compleat Angler (by Izaak Walton)"
5397,2008-02-12,"CHARACTERS IN BOOKS","None","This character says, ""It's Christmas Day!  I haven't missed it.  The Spirits have done it all in one night""","Ebenezer Scrooge"
6293,2012-01-18,"FATHERS & SONS","None","The island where this man's son washed ashore was later named Ikaria","Daedalus"
5624,2009-02-05,"AMERICAN FICTION WRITERS","None","He was also the U.S.'s best-paid sportswriter, with stories of people like Chicago O'Brien & Jack the Bookie","Damon Runyon"
3393,1999-05-12,"RENAISSANCE LITERATURE","None","This book begins, ""All states and dominions which hold or have held mankind are either republics or monarchies""","\""The Prince\"" (by Machiavelli)"
3409,1999-06-03,"WORLD EVENTS","None","The 3 people who did this most recently were Midori Ito, Muhammad Ali & Crown Prince Haakon of Norway","Lighting the Olympic flame at the Olympic Games"
4160,2002-10-04,"U.S. PRESIDENTS","None","A Civil War general, he was the last man to go directly from the House of Representatives to the presidency","James A. Garfield"
3907,2001-09-04,"NATIONAL ANTHEMS","None","""Land Of Two Rivers"" is the anthem of this country whose history goes back thousands of years","Iraq"
5153,2007-01-24,"FOREIGN CURRENCY","None","This currency of Costa Rica gets its name from the first European to see the nation","the Colon"
3820,2001-03-23,"TRANSPORTATION INNOVATIONS","None","This type of program that began in 1981 was inspired by Green Stamps","Frequent flyer program"
6193,2011-07-13,"NAME THE POET","None","""The spirit who bideth by himself / in the land of mist and snow / he loved the bird that loved the man / who shot him with his bow""","(Samuel Taylor) Coleridge"
2893,1997-03-12,"THE NOBEL PRIZE","None","The 1996 Chemistry Prize went to the discoverers of a 60-carbon atom molecule called this","Buckyball"
3108,1998-02-18,"AUTHORS","None","He claimed that as a Pinkerton detective, he had worked the Fatty Arbuckle & Nicky Arnstein cases","Dashiell Hammett"
4987,2006-04-25,"MOVIE DIRECTORS","None","He's the only person to direct his daughter & his father in Oscar-winning performances","John Huston"
5701,2009-05-25,"THE ELEMENTS","None","Once called radium F, this element was named for the homeland of one of its discoverers","polonium"
5530,2008-09-26,"ROYALTY","None","Since 1066, the only British monarch to have 3 children ascend to the British throne","Henry VIII"
4738,2005-03-23,"MAJOR LEAGUE BASEBALL","None","The team names of these 2 expansion clubs start with the same 3 letters; one might catch the other","the Seattle Mariners & the Florida Marlins"
6088,2011-02-16,"19th CENTURY NOVELISTS","None","William Wilkinson's ""An Account of the Principalities of Wallachia and Moldavia"" inspired this author's most famous novel","Bram Stoker"
4550,2004-05-21,"EXPLORATION","None","He wrote in his diary, ""The loss of pony transport in March 1911 obliged me to start later than I had intended""","Robert Falcon Scott"
3130,1998-03-20,"FINANCE HISTORY","None","In the 19th c., selling stock you didn't yet own, hoping it would fall, was called selling this animal's skin","a bear"
3543,2000-01-19,"THE BOOK TRADE","None","According to USA Today, they're the 2 nonconsecutive months that see the highest cookbook sales","May & December"
4177,2002-10-29,"NOTABLE NAMES","None","His last direct descendant was a granddaughter, Elizabeth Hall, born to John & Susanna Hall in 1608","William Shakespeare"
6159,2011-05-26,"19th CENTURY MUSIC","None","Lyrics to an 1868 tune by this man began, ""Guten Abend, Gut Nacht, Mit Rosen Bedacht""","Johannes Brahms"
5825,2010-01-01,"ROSE BOWL HISTORY","None","The only time the game wasn't held in Calif. was 1942, when it was in N.C., amidst fears of another event like this one","Pearl Harbor"
5416,2008-03-10,"ACTORS","None","He never won an Oscar, but this 1960s movie star got a patent for a low-slung bucket seat for race cars","Steve McQueen"
3205,1998-07-03,"WORLD LEADERS","None","On Dec. 25, 1991, he ended his farewell speech by saying, ""I wish everyone all the best""","Mikhail Gorbachev"
3014,1997-10-09,"FAMOUS WOMEN","None","In 1997, in honor of her 90th birthday, she was made honorary First Lady of Old Saybrook, Connecticut","Katharine Hepburn"
5623,2009-02-04,"20th CENTURY FIRSTS","None","On Oct. 14, 1947 in the Mojave Desert the first of these sounds was made by man; it was the byproduct of another first","sonic boom"
4122,2002-07-02,"1980s BUSINESS","None","In his job since 1984, this man has been called ""the Prince who awakened Sleeping Beauty""","Michael Eisner"
6029,2010-11-25,"U.S. PRESIDENTS","None","He is the only president of the United States to be awarded the Purple Heart","John F. Kennedy"
5281,2007-07-23,"ITALIAN INVENTORS","None","In 1910 his new invention helped Scotland Yard catch a murderer escaping to North America across the Atlantic","Marconi"
4935,2006-02-10,"AMERICANA","None","Originally beardless, Uncle Sam got  his chin whiskers from images depicting this real-life man","Abraham Lincoln"
3361,1999-03-29,"1999 ANNIVERSARIES","None","A traveling exhibit honoring the 200th anniversary of his death features his false teeth","George Washington"
4472,2004-02-03,"ARBOREAL MAMMALS","None","Of the genus Phascolarctos, it's 23-33"" tall with a stout gray or brown body, a big round nose & strong claws","a koala"
5437,2008-04-08,"OLYMPIC CITIES","None","Of all the cities to host the modern Olympic Games, this one lies closest to the equator","Mexico City"
4766,2005-05-02,"WORLD CITIES","None","Capital of the ancient Roman province of Galatia, it became a modern national capital in 1923","Ankara"
3588,2000-03-22,"HISTORIC PEOPLE","None","After his 1955 death, his papers were given to Jerusalem's Hebrew Univ. & his violin was left to his grandson","Albert Einstein"
4362,2003-07-15,"THE CABINET","None","This department contains the Federal Emergency Management Agency, the Secret Service & the Coast Guard","Department of Homeland Security"
5311,2007-10-15,"ARTISTS","None","In 1881 he wrote to Emile Zola, ""I must soon leave Vetheuil, and I am looking for a pretty place by the Seine""","Claude Monet"
4300,2003-04-18,"ORGANIZATIONS","None","""Climb the mountains and get their good tidings"" was a goal of this group at its 19th century founding","Sierra Club"
6014,2010-11-04,"BURIED AT ARLINGTON","None","His grave notes his 1842 West Point graduation, his time at Ft. Sumter, Gettysburg & 2nd Bull Run, but does not mention sports","Abner Doubleday"
4873,2005-11-16,"WORD ORIGINS","None","This word meaning ""complete range"" comes from the 3rd Greek letter, which used to be the low end of the musical scale","gamut"
4698,2005-01-26,"LANDMARKS","None","Located SE of Charlottesville, Virginia, it has 3 stories, an octagonal dome & 33 rooms of varying shapes","Monticello"
3795,2001-02-16,"THE WESTERN HEMISPHERE","None","Written in 1904, ""Himno Istmeno"" is the national anthem of this country that won its independence a year earlier","Panama"
5279,2007-07-19,"THE 50 STATES","None","It was the only state physically & politically formed directly because of the Civil War","West Virginia"
3136,1998-03-30,"WORD ORIGINS","None","This type of establishment gets its name from the Latin for ""to restore""","a restaurant"
4461,2004-01-19,"RANKS & TITLES","None","Queen Victoria & Indira Gandhi each held this title, though only one was official","Empress of India"
5081,2006-10-16,"FROM MOVIE TO MUSICAL","None","A play-within-a-play, called ""Pretty Lady"", suddenly needs a new leading lady in this ever-popular musical","42nd Street"
4950,2006-03-03,"AMERICAN LITERATURE","None","This 1906 novel says, ""Now & then a visitor wept, to be sure; but this slaughtering machine ran on, visitors or no...""","The Jungle"
2903,1997-03-26,"20th CENTURY LEADERS","None","In 1914 Jan Smuts wrote of this man's departure, ""The saint has left our shores, I hope forever""","Mahatma Gandhi"
3209,1998-07-09,"THE EARTH","None","On the line of latitude known as this, the sun doesn't rise on the winter solstice or set on the summer","Arctic Circle (or for people in the Southern Hemisphere, the Antarctic Circle)"
3053,1997-12-03,"SCULPTURE","None","Standing on the banks of the Concord River, it's also known as the ""Statue of the Embattled Farmer""","the Minuteman Statue (by Daniel Chester French)"
1875,1992-10-30,"THE SUPREME COURT","None","The 1973 case Doe v. Bolton was decided with this more famous case","Roe v. Wade"
3139,1998-04-02,"THE 20th CENTURY","None","In 1916, his assassins included a prince and a grand duke","Rasputin"
